University ID,Field of Study,Employment Rate (%),Average Salary
1,Pre-emptive zero administration function,97,$85964/year
2,Pre-emptive background archive,69,$88132/year
3,Visionary attitude-oriented time-frame,86,$37709/year
4,Streamlined interactive instruction set,96,$54415/year
5,Ameliorated impactful knowledge user,81,$54283/year
6,Focused well-modulated array,69,$87043/year
7,Pre-emptive content-based encryption,66,$73151/year
8,Innovative multimedia solution,61,$37375/year
9,Re-engineered asynchronous parallelism,98,$84916/year
10,Future-proofed directional hub,71,$47319/year
11,Exclusive static workforce,80,$47932/year
12,Visionary systemic concept,71,$31560/year
13,Face-to-face mobile solution,85,$87999/year
14,Grass-roots exuding project,71,$50344/year
15,Persistent composite encoding,96,$41745/year
16,Front-line object-oriented flexibility,69,$71274/year
17,Up-sized eco-centric core,57,$40912/year
18,Robust systemic approach,78,$38098/year
19,Enterprise-wide context-sensitive portal,51,$47259/year
20,Ergonomic zero-defect standardization,64,$32122/year
21,Distributed uniform task-force,58,$95683/year
22,Seamless exuding matrix,56,$39025/year
23,Up-sized scalable strategy,85,$95823/year
24,Right-sized needs-based portal,81,$42258/year
25,Seamless static solution,69,$58967/year
26,Centralized executive time-frame,61,$71822/year
27,Balanced maximized strategy,96,$59820/year
28,Integrated composite function,99,$90238/year
29,Persevering explicit time-frame,50,$44502/year
30,Synergistic maximized solution,57,$58547/year
31,Sharable context-sensitive interface,55,$57730/year
32,Digitized 6thgeneration system engine,64,$53301/year
33,Adaptive multimedia forecast,69,$94159/year
34,Re-contextualized heuristic migration,81,$58944/year
35,Cloned motivating toolset,61,$55913/year
36,Focused discrete matrices,54,$72531/year
37,Compatible intermediate pricing structure,52,$67191/year
38,Focused mobile concept,76,$58665/year
39,Synergistic responsive support,81,$61425/year
40,Enterprise-wide fresh-thinking initiative,85,$55522/year
41,Streamlined intermediate workforce,65,$35333/year
42,Robust object-oriented pricing structure,54,$54264/year
43,Automated attitude-oriented synergy,77,$92433/year
44,Visionary multimedia throughput,79,$89316/year
45,Multi-tiered optimizing synergy,55,$57193/year
46,Multi-tiered mobile workforce,83,$57303/year
47,Streamlined demand-driven application,94,$94481/year
48,Grass-roots web-enabled benchmark,65,$79763/year
49,Assimilated systemic instruction set,66,$71596/year
50,Programmable maximized customer loyalty,90,$30251/year
